year	region	nwl_A	nwl_W	nwl_E	nwl_N	fwl_A	fwl_W	fwl_E	fwl_N	cwl_A	cwl_W	cwl_E	cwl_N
1975	1	0.941065158	0.299893912	0.151137602	0.377736695	0.276152789	0.009384519	0.026280519	0.192229939	0.075061246	0.001978628	0.000332056	0.031530721
1976	1	0.95280586	0.302946843	0.152663732	0.383219068	0.279895571	0.009567915	0.02676732	0.195419723	0.075922504	0.002032012	0.00036208	0.032073077
1977	1	0.965472858	0.306342641	0.15436121	0.389368548	0.290689327	0.009934926	0.02756707	0.202372919	0.079612515	0.002142828	0.000389605	0.033725902
1978	1	0.97913939	0.310106633	0.156242923	0.39589447	0.309064941	0.010539474	0.028745857	0.213343299	0.087022143	0.00236019	0.000443247	0.036842348
1979	1	1.001778843	0.316351467	0.15936438	0.407652151	0.360955074	0.012179097	0.031801023	0.244109318	0.107222284	0.002919849	0.000554413	0.045575546
1980	1	1.014336236	0.32087332	0.161625128	0.415029466	0.372496314	0.012585841	0.032719512	0.251846636	0.111236837	0.003044763	0.000587396	0.047441624
1981	1	1.0189406	0.323312322	0.16284492	0.418105417	0.359108648	0.012157984	0.032114109	0.244344318	0.105144264	0.002862465	0.000542464	0.044720102
1982	1	1.016463091	0.323860064	0.163119438	0.417400082	0.321997663	0.010942162	0.030087361	0.222547556	0.089604648	0.002393954	0.000424618	0.037770994
1983	1	1.02697355	0.327838657	0.165108744	0.4235613	0.326837292	0.011139694	0.03061723	0.226219412	0.090762658	0.002442487	0.000445255	0.038355416
1984	1	1.040355127	0.33265197	0.16751526	0.431347491	0.344109111	0.011717719	0.031817722	0.237033619	0.096947749	0.00262536	0.000489477	0.041075586
1985	1	1.054457594	0.337763648	0.170070765	0.439880691	0.36814828	0.012444692	0.033281756	0.251406222	0.105510286	0.002836955	0.000513421	0.044705553
1986	1	1.057959714	0.33963708	0.171007655	0.442296609	0.339797764	0.011615106	0.032040554	0.236311166	0.092565705	0.002498036	0.000456156	0.039403534
1987	1	1.070806198	0.344421242	0.173399591	0.449982024	0.359982728	0.012232018	0.033287622	0.248300568	0.099976852	0.00268582	0.000482261	0.042485062
1988	1	1.08466434	0.349391683	0.175884618	0.458101596	0.380081952	0.01288525	0.034620273	0.260669435	0.107244694	0.002890907	0.000525527	0.045643824
1989	1	1.095189234	0.353503616	0.177940713	0.464250522	0.390358365	0.013224145	0.035357929	0.266931916	0.111102442	0.003000689	0.000551333	0.047198695
1990	1	1.102579713	0.356599429	0.179488693	0.468823826	0.382673961	0.013012575	0.035174142	0.263327389	0.106928498	0.00289062	0.000532018	0.045495501
1991	1	1.094009038	0.354454393	0.178416794	0.464230425	0.336402422	0.011575386	0.032723519	0.236998095	0.087455846	0.002351914	0.000422962	0.03724114
1992	1	1.103378222	0.357467008	0.179923055	0.4693077	0.365080474	0.012499922	0.034414954	0.253922209	0.099026855	0.002685342	0.000499117	0.042226127
1993	1	1.109166976	0.359499216	0.180939124	0.472690559	0.379982281	0.012950946	0.03528493	0.262734712	0.104545176	0.002824882	0.000517327	0.044580043
1994	1	1.122684978	0.363578756	0.182978352	0.480355152	0.420132885	0.014227695	0.037663335	0.286859503	0.119750563	0.003249707	0.000601794	0.051313886
1995	1	1.127052575	0.365272827	0.183825593	0.482775692	0.432061737	0.014589913	0.03834026	0.293635539	0.124651941	0.003377629	0.000623545	0.053293282
1996	1	1.124482798	0.364863855	0.183621562	0.481335288	0.410151494	0.013926976	0.037243354	0.281335992	0.115422754	0.00313101	0.000579963	0.049390785
1997	1	1.136241042	0.368527736	0.185453093	0.488057182	0.445929156	0.015042997	0.039317476	0.302578456	0.129059483	0.003500017	0.000645873	0.055334463
1998	1	1.141301785	0.370436865	0.186407936	0.490720242	0.460683875	0.015503038	0.04014444	0.310880279	0.140660882	0.003810606	0.000703985	0.060067823
1999	1	1.14389629	0.371622722	0.187000988	0.492443263	0.46013066	0.01549083	0.040211724	0.310991631	0.139788958	0.00378391	0.000695597	0.059763982
2000	1	1.146312486	0.372921105	0.18765046	0.494092136	0.457914983	0.015408637	0.039833082	0.308948665	0.138181934	0.00375098	0.000696659	0.059137427
2001	1	1.14422432	0.373015598	0.187698292	0.49321021	0.441139153	0.014872006	0.038786411	0.298695709	0.131474842	0.00356434	0.000660253	0.056158445
2002	1	1.148238309	0.374770106	0.188575755	0.495727331	0.445407688	0.015004941	0.038903319	0.30082946	0.132648122	0.003605581	0.000674564	0.056692851
2003	1	1.150797545	0.376178644	0.1892804	0.497376836	0.445504678	0.014992377	0.038674144	0.300030289	0.134226157	0.003651221	0.000686822	0.05726648
2004	1	1.153199865	0.377472506	0.189927518	0.49914764	0.441299657	0.014834944	0.038189946	0.296936659	0.146155145	0.003721106	0.000538185	0.060370325
2005	1	1.151946806	0.377820405	0.190101952	0.498833412	0.42918375	0.014442392	0.037543499	0.289842922	0.13986298	0.003540416	0.000499846	0.057505757
2006	1	1.152611072	0.378677193	0.190530888	0.499313816	0.421708831	0.014215205	0.036968509	0.284839625	0.135367732	0.003436532	0.000494961	0.055547377
2007	1	1.16411179	0.382436821	0.192410444	0.50583369	0.457397961	0.015369259	0.039299792	0.306531656	0.152247946	0.003878958	0.000567549	0.062618084
2008	1	1.160356501	0.382256437	0.192320887	0.503988496	0.44264724	0.014696753	0.037444014	0.293537458	0.169301778	0.004179638	0.000525997	0.068273915
2009	1	1.15517022	0.381015953	0.191700694	0.501535346	0.404243424	0.013508694	0.035818435	0.272889716	0.141290203	0.003438056	0.000398386	0.056548306
2010	1	1.174133519	0.386690448	0.194537094	0.512069136	0.460582089	0.015272345	0.038880245	0.305312344	0.153658915	0.003763793	0.000454752	0.061623829
2011	1	1.179943091	0.38861819	0.195500709	0.515400956	0.466059755	0.015460235	0.039411764	0.309102652	0.147493967	0.003602588	0.000427858	0.059087439
2012	1	1.185316042	0.390382156	0.1963825	0.518392847	0.461337434	0.015328097	0.039011981	0.306039713	0.138512389	0.003394861	0.000413602	0.055443595
2013	1	1.197985258	0.394528021	0.198454883	0.525808644	0.494791069	0.016303007	0.040628531	0.324565574	0.154749246	0.003761931	0.000434347	0.061844801
2014	1	1.203589768	0.396505653	0.199443615	0.528949891	0.496733009	0.01640092	0.041019939	0.326508987	0.156613487	0.003827115	0.000454612	0.062826983
2015	1	1.212908389	0.399682733	0.20103189	0.534321268	0.520906342	0.017144682	0.042574375	0.340921046	0.169728127	0.004119578	0.000466721	0.068048686
