year	region	nwl_A	nwl_W	nwl_E	nwl_N	fwl_A	fwl_W	fwl_E	fwl_N	cwl_A	cwl_W	cwl_E	cwl_N
1975	1	0.941066	0.299894321	0.151137807	0.377737304	0.276163227	0.009384788	0.026280954	0.192235277	0.075065787	0.001978723	0.000332056	0.031532436
1976	1	0.952806702	0.302947252	0.152663936	0.383219677	0.279906023	0.009568185	0.026767756	0.195425068	0.075927051	0.002032108	0.00036208	0.032074794
1977	1	0.965473701	0.30634305	0.154361415	0.389369158	0.290699792	0.009935196	0.027567506	0.202378271	0.079617068	0.002142923	0.000389605	0.033727621
1978	1	0.979140235	0.310107043	0.156243128	0.395895081	0.30907542	0.010539745	0.028746294	0.213348657	0.087026701	0.002360286	0.000443247	0.03684407
1979	1	1.001779689	0.316351878	0.159364585	0.407652762	0.360965567	0.012179368	0.031801461	0.244114683	0.107226849	0.002919945	0.000554413	0.045577269
1980	1	1.014337083	0.320873731	0.161625334	0.415030079	0.372506822	0.012586112	0.03271995	0.25185201	0.111241408	0.003044859	0.000587396	0.04744335
1981	1	1.018941449	0.323312734	0.162845126	0.418106031	0.359119171	0.012158256	0.032114548	0.244349699	0.105148842	0.002862561	0.000542464	0.04472183
1982	1	1.016463941	0.323860477	0.163119644	0.417400697	0.322008201	0.010942434	0.030087801	0.222552945	0.089609232	0.00239405	0.000424618	0.037772725
1983	1	1.026974401	0.32783907	0.165108951	0.423561915	0.326847846	0.011139966	0.030617671	0.226224809	0.090767249	0.002442583	0.000445255	0.03835715
1984	1	1.040355979	0.332652384	0.167515467	0.431348108	0.344119681	0.011717992	0.031818163	0.237039023	0.096952347	0.002625457	0.000489477	0.041077322
1985	1	1.054458848	0.337764257	0.17007107	0.439881598	0.36816384	0.012445094	0.033282405	0.251414178	0.105517054	0.002837097	0.000513421	0.044708109
1986	1	1.057961369	0.339637884	0.171008057	0.442297807	0.339818303	0.011615635	0.032041411	0.236321668	0.09257464	0.002498223	0.000456156	0.039406908
1987	1	1.070808258	0.344422242	0.173400091	0.449983515	0.360008286	0.012232677	0.033288689	0.248313637	0.099987971	0.002686053	0.000482261	0.04248926
1988	1	1.084666804	0.349392879	0.175885216	0.458103378	0.380112519	0.012886039	0.034621548	0.260685065	0.107257991	0.002891186	0.000525527	0.045648845
1989	1	1.095150557	0.353484842	0.177931326	0.464222541	0.389878547	0.013211764	0.035337913	0.266686565	0.110893716	0.00299631	0.000551333	0.047119875
1990	1	1.10252489	0.356572817	0.179475387	0.468784163	0.381993841	0.012995026	0.03514577	0.262979616	0.106632639	0.002884413	0.000532018	0.045383778
1991	1	1.09395498	0.354428152	0.178403674	0.464191316	0.335731782	0.011558082	0.032695542	0.23665517	0.087164111	0.002345794	0.000422962	0.037130974
1992	1	1.10332395	0.357440664	0.179909883	0.469268437	0.364407192	0.01248255	0.034386866	0.253577933	0.098733971	0.002679197	0.000499117	0.042115527
1993	1	1.109111289	0.359472185	0.180925608	0.472650272	0.379291443	0.012933121	0.03525611	0.262381459	0.104244655	0.002818577	0.000517327	0.04446656
