year	region	nwl_A	nwl_W	nwl_E	nwl_N	nwl_H	fwl_A	fwl_W	fwl_E	fwl_N	fwl_H	cwl_A	cwl_W	cwl_E	cwl_N	cwl_H
1975	1	3.9458	0.46673	0.59266	4.25063	30.15276	2.38465	0.23783	0.22677	2.89664	11.67319	1.75139	0.17205	0.08717	1.8879	2.79191
1976	1	3.9428	0.46689	0.59174	4.23944	30.15324	2.34223	0.23342	0.22402	2.86059	11.67335	1.72894	0.17016	0.08696	1.87634	2.79196
1977	1	3.94946	0.46816	0.59258	4.23694	30.15372	2.31685	0.23053	0.22224	2.833	11.67347	1.71199	0.16839	0.08671	1.86622	2.79201
1978	1	3.96433	0.47038	0.5949	4.2429	30.15422	2.31131	0.22952	0.22173	2.81837	11.67356	1.70349	0.16714	0.08648	1.85918	2.79205
1979	1	3.99328	0.47448	0.59945	4.26187	30.15477	2.3512	0.2324	0.2242	2.83659	11.67367	1.71478	0.16717	0.08638	1.86109	2.79209
1980	1	4.02477	0.47868	0.60491	4.28817	30.15538	2.39204	0.23635	0.22733	2.8637	11.67382	1.72864	0.16798	0.08636	1.86524	2.79213
1981	1	4.0525	0.48216	0.61011	4.316	30.15606	2.41278	0.23886	0.22954	2.88304	11.67401	1.73528	0.16872	0.08634	1.86695	2.79218
1982	1	4.07233	0.48448	0.61424	4.34053	30.15679	2.39732	0.23819	0.2295	2.8794	11.67421	1.72645	0.16857	0.0862	1.86179	2.79223
1983	1	4.09771	0.4879	0.61908	4.36853	30.15757	2.39035	0.23741	0.22983	2.87839	11.6744	1.71948	0.16811	0.08607	1.85718	2.79227
1984	1	4.12949	0.49214	0.62484	4.40166	30.15842	2.40065	0.23806	0.23116	2.88766	11.67459	1.71895	0.16786	0.08598	1.85533	2.79231
1985	1	4.1667	0.49701	0.63144	4.44036	30.15935	2.43048	0.24053	0.23369	2.91094	11.67481	1.72651	0.16813	0.08593	1.85727	2.79235
1986	1	4.19925	0.50085	0.63726	4.47782	30.16035	2.4298	0.24116	0.2347	2.91813	11.67505	1.72097	0.16801	0.08583	1.854	2.79239
1987	1	4.23665	0.50567	0.64377	4.51907	30.16143	2.44826	0.24262	0.23668	2.93616	11.6753	1.72295	0.16802	0.08576	1.85384	2.79243
1988	1	4.27851	0.511	0.6509	4.5644	30.1626	2.48163	0.24557	0.23966	2.96556	11.67558	1.73159	0.16848	0.08576	1.85699	2.79247
1989	1	4.32098	0.51626	0.65813	4.61148	30.16386	2.51838	0.24911	0.24298	2.9999	11.67591	1.74305	0.16931	0.08582	1.86189	2.79252
1990	1	4.36152	0.52112	0.66499	4.65832	30.16522	2.5424	0.25179	0.2457	3.0287	11.67628	1.74946	0.17005	0.08589	1.86524	2.79257
1991	1	4.38738	0.52352	0.66925	4.69526	30.16665	2.52257	0.25088	0.24568	3.02863	11.67666	1.7368	0.16973	0.08584	1.86025	2.79262
