year	region	nwl_A	nwl_W	nwl_E	nwl_N	nwl_H	fwl_A	fwl_W	fwl_E	fwl_N	fwl_H	cwl_A	cwl_W	cwl_E	cwl_N	cwl_H
1975	1	3.85607	0.45824	0.58348	4.11329	28.74124	2.30482	0.22965	0.21953	2.783	11.12708	1.66992	0.16369	0.08228	1.78827	2.6615
1976	1	3.87224	0.46041	0.58575	4.12634	28.74191	2.27296	0.22633	0.21791	2.75996	11.12728	1.65217	0.16228	0.08217	1.77998	2.66155
1977	1	3.89496	0.46336	0.58903	4.14515	28.74262	2.25683	0.22439	0.21711	2.74433	11.12745	1.63954	0.16096	0.08204	1.77314	2.66159
1978	1	3.92351	0.467	0.59325	4.16973	28.74339	2.25951	0.22422	0.21746	2.74063	11.12761	1.63504	0.16012	0.08194	1.76936	2.66163
1979	1	3.96423	0.47232	0.5993	4.20492	28.74423	2.30682	0.22784	0.22068	2.76882	11.12779	1.65006	0.16053	0.08196	1.77449	2.66167
1980	1	4.00591	0.47758	0.60596	4.24534	28.74516	2.35441	0.23248	0.22447	2.80503	11.12803	1.66742	0.16169	0.08207	1.78182	2.66172
1981	1	4.04246	0.48196	0.61213	4.28547	28.74617	2.38128	0.23561	0.22726	2.83268	11.12831	1.67735	0.16277	0.08218	1.78666	2.66177
1982	1	4.06994	0.48507	0.61706	4.32072	28.74725	2.37132	0.23551	0.22773	2.83664	11.12861	1.6716	0.16294	0.08218	1.78457	2.66182
1983	1	4.10197	0.48917	0.62256	4.35804	28.7484	2.36928	0.23523	0.22851	2.84256	11.12891	1.66753	0.16278	0.08218	1.78297	2.66187
1984	1	4.13955	0.49401	0.62888	4.39929	28.74963	2.38405	0.23633	0.23024	2.85813	11.12922	1.66974	0.16281	0.08222	1.78406	2.66192
1985	1	4.18184	0.49941	0.63597	4.44508	28.75095	2.41798	0.23921	0.23313	2.88715	11.12956	1.6799	0.16334	0.0823	1.78887	2.66197
1986	1	4.21884	0.50371	0.6422	4.48874	28.75235	2.42104	0.24023	0.23446	2.89958	11.12992	1.67682	0.16347	0.08233	1.7884	2.66202
1987	1	4.26015	0.50894	0.64907	4.53542	28.75384	2.4429	0.24202	0.23674	2.92239	11.1303	1.68114	0.16372	0.08239	1.79098	2.66207
1988	1	4.30546	0.51462	0.65652	4.58551	28.75543	2.4794	0.24528	0.23998	2.95616	11.13072	1.69202	0.16441	0.08251	1.79679	2.66213
1989	1	4.35095	0.52019	0.66403	4.63675	28.75712	2.5186	0.24909	0.24352	2.99422	11.13119	1.70541	0.16545	0.08269	1.8042	2.66219
1990	1	4.39415	0.52533	0.67114	4.68726	28.7589	2.54475	0.25199	0.24644	3.0263	11.1317	1.71361	0.16638	0.08288	1.80994	2.66226
1991	1	4.42292	0.52806	0.67572	4.72775	28.76076	2.52709	0.2513	0.24661	3.02937	11.13222	1.70272	0.16624	0.08295	1.8073	2.66233
1992	1	4.45326	0.53156	0.68017	4.7669	28.76269	2.53971	0.25196	0.24814	3.04653	11.13274	1.70374	0.16618	0.08307	1.80934	2.6624
1993	1	4.48171	0.53474	0.68417	4.80366	28.76469	2.56352	0.25402	0.25022	3.07051	11.13329	1.7098	0.16647	0.08321	1.81359	2.66247
1994	1	4.51448	0.53865	0.68865	4.8424	28.76676	2.61835	0.25871	0.25425	3.11661	11.13389	1.72959	0.16765	0.08346	1.82455	2.66254
1995	1	4.5418	0.54158	0.69233	4.87752	28.7689	2.67282	0.26404	0.25842	3.16682	11.13456	1.75199	0.1694	0.08379	1.83753	2.66262
1996	1	4.56018	0.54326	0.6946	4.90553	28.7711	2.69805	0.26721	0.26102	3.20133	11.13529	1.76345	0.17085	0.08411	1.84657	2.66271
1997	1	4.58715	0.54672	0.69817	4.93692	28.77335	2.75274	0.27199	0.26531	3.25441	11.13607	1.78717	0.17272	0.08453	1.86162	2.6628
1998	1	4.60982	0.54918	0.70118	4.96563	28.77566	2.81037	0.27757	0.26982	3.31183	11.13692	1.81958	0.1753	0.08508	1.8814	2.6629
1999	1	4.62639	0.5508	0.70325	4.99007	28.77802	2.85679	0.28241	0.27376	3.36455	11.13785	1.84794	0.17801	0.08569	1.9008	2.66302
2000	1	4.63712	0.55174	0.70443	5.00956	28.78043	2.89257	0.28619	0.2767	3.40972	11.13884	1.87186	0.18053	0.08635	1.91929	2.66315
2001	1	4.64257	0.55214	0.7049	5.02339	28.78286	2.90813	0.28819	0.27822	3.43994	11.13987	1.8873	0.18249	0.087	1.93449	2.66329
2002	1	4.65294	0.55359	0.70626	5.03787	28.78531	2.92757	0.29005	0.27972	3.46919	11.14093	1.90304	0.1842	0.08767	1.94998	2.66344
2003	1	4.66269	0.55479	0.7077	5.05135	28.78779	2.94487	0.29179	0.28083	3.49443	11.14202	1.91916	0.18582	0.08836	1.96569	2.66359
2004	1	4.67565	0.55658	0.70982	5.06623	28.79029	2.95788	0.29315	0.28151	3.5149	11.14313	1.94547	0.18777	0.08893	1.98431	2.66375
2005	1	4.68324	0.55736	0.71124	5.07802	28.79282	2.95844	0.29347	0.28147	3.52554	11.14425	1.96346	0.18965	0.0895	1.99986	2.66392
2006	1	4.68408	0.55719	0.71153	5.08496	28.79537	2.95113	0.29293	0.28067	3.52749	11.14538	1.97512	0.19114	0.09008	2.0129	2.6641
2007	1	4.692	0.55839	0.71277	5.09507	28.79795	2.97641	0.29472	0.28208	3.54903	11.14653	2.00172	0.19318	0.09075	2.03264	2.66429
2008	1	4.6847	0.55692	0.71171	5.09588	28.80055	2.97934	0.29536	0.28129	3.55364	11.14771	2.041	0.19612	0.09145	2.05759	2.66449
2009	1	4.67665	0.55588	0.71041	5.093	28.80314	2.94863	0.29308	0.27913	3.53691	11.14887	2.05048	0.19805	0.09207	2.07072	2.6647
2010	1	4.68782	0.55798	0.71205	5.10082	28.80573	2.97437	0.29442	0.28015	3.55244	11.15003	2.07121	0.19995	0.09275	2.08855	2.66492
2011	1	4.69863	0.55933	0.71377	5.11064	28.80835	2.99818	0.29673	0.28156	3.57102	11.15122	2.08418	0.20152	0.09342	2.10336	2.66515
2012	1	4.70497	0.55987	0.71472	5.11902	28.811	3.01081	0.29821	0.28228	3.58411	11.15244	2.08718	0.20241	0.09405	2.11376	2.66539
2013	1	4.71457	0.56113	0.71616	5.12995	28.81367	3.0497	0.30145	0.28437	3.61409	11.15369	2.10582	0.20371	0.09469	2.13015	2.66563
2014	1	4.72125	0.56179	0.71713	5.13929	28.81636	3.08186	0.30473	0.28655	3.64414	11.15499	2.12492	0.20536	0.09537	2.14728	2.66588
2015	1	4.72102	0.56137	0.71685	5.14469	28.81908	3.12563	0.3088	0.28958	3.6838	11.15635	2.15418	0.20764	0.0961	2.16914	2.66614
2016	1	4.72492	0.56189	0.71709	5.15137	28.82182	3.17996	0.31389	0.29325	3.73312	11.15778	2.19515	0.21086	0.09694	2.19711	2.66642
2017	1	4.72733	0.56197	0.71698	5.15637	28.82458	3.22757	0.31874	0.29703	3.78275	11.15929	2.23096	0.21432	0.0979	2.22478	2.66672
