year	Rhtg	Mtkg	Ptkg	Vatkg	Jatkg
1990	0.1672	0.2724	0.3548	0.2036	0.0019
1991	0.1653	0.2729	0.3577	0.2017	0.0026
1992	0.1634	0.2733	0.3603	0.1994	0.0033
1993	0.1616	0.2738	0.3631	0.1975	0.0040
1994	0.1600	0.2742	0.3654	0.1955	0.0047
1995	0.1581	0.2747	0.3680	0.1936	0.0054
1996	0.1566	0.2751	0.3703	0.1917	0.0061
1997	0.1550	0.2756	0.3726	0.1898	0.0068
1998	0.1532	0.2761	0.3750	0.1880	0.0075
1999	0.1523	0.2762	0.3766	0.1870	0.0082
2000	0.1514	0.2763	0.3780	0.1859	0.0086
2001	0.1503	0.2763	0.3796	0.1847	0.0091
2002	0.1509	0.2738	0.3788	0.1875	0.0090
2003	0.1514	0.2710	0.3778	0.1905	0.0092
2004	0.1520	0.2685	0.3769	0.1933	0.0095
2005	0.1526	0.2660	0.3760	0.1960	0.0097
2006	0.1531	0.2633	0.3751	0.1988	0.0096
2007	0.1537	0.2608	0.3742	0.2015	0.0098
2008	0.1509	0.2611	0.3767	0.2012	0.0101
2009	0.1482	0.2616	0.3791	0.2007	0.0104
2010	0.1456	0.2618	0.3816	0.2006	0.0104
2011	0.1430	0.2621	0.3840	0.2002	0.0107
2012	0.1434	0.2622	0.3835	0.2001	0.0107
2013	0.1438	0.2621	0.3834	0.2000	0.0107
2014	0.1441	0.2621	0.3832	0.2001	0.0106
2015	0.1443	0.2620	0.3829	0.2000	0.0106
2016	0.1446	0.2618	0.3829	0.2001	0.0106
2017	0.1448	0.2617	0.3829	0.2000	0.0106
