region	soil	species	2011	2016	2021	2026	2031	2041	2051
1	1	1	1134.3	904.7	1037.7	1124.8	1210.4	1403.1	1527.2
1	1	2	685.9	398.4	512.9	624.4	780.6	1086	1358.1
1	1	3	3337.3	2406.3	2524.1	2541.8	2338.1	1887.5	1603
1	3	1	42.5	28.8	28.3	28.8	31.5	35.4	48.9
1	3	2	17.6	12	12.3	14.6	19.9	16.5	20.1
1	3	3	160.5	109.6	96.6	93.7	96.4	96.2	97
1	2	1	483.8	364.3	357.4	343.2	302.8	249.5	222.2
1	2	2	145	75.8	97.5	100.2	118.3	141.4	150.1
1	2	3	798.5	539.4	540.4	528.6	493	443.5	375.8
2	1	1	680.4	631.1	909.7	1242.1	1559.5	2062.1	2310.2
2	1	2	148.3	96.6	102.1	121.8	161.4	190	213.6
2	1	3	1201.1	789.9	742.3	709	709.7	712	692.8
2	3	1	44.5	37.8	40.3	44.1	52.8	75.4	90.7
2	3	2	16.4	12.9	13.7	15.6	20.1	24.6	27.5
2	3	3	199	135.1	126.5	119.5	117.6	139.5	165.8
2	2	1	392.3	384	402.1	391.8	361.6	317.1	270.7
2	2	2	44.2	44.7	36.3	40.2	34.6	40.9	64.7
2	2	3	349.8	318.2	341.5	330.9	327.2	331	370.5
