region	soil	species	part	2011	2016	2021	2026	2031	2041	2051
1	1	1	3	119.6	106.2	104.5	108.5	107.6	100	147.4
1	1	1	2	791.6	1261.5	1050.5	1185.2	1246.2	1234.4	1340
1	1	1	1	308.2	483	411.7	475.4	539.6	540.5	566.4
1	1	1	4	414.5	688.5	554.7	620.8	704.4	712.2	686.7
1	1	1	5	1332.5	2238.3	1758	1935.1	2187.8	2225.5	2056.9
1	1	2	3	215.4	250.4	174.4	108.9	89.7	89.6	88.6
1	1	2	2	959.2	1152.3	1193.6	1225.4	1562.1	1873.1	2197.1
1	1	2	1	950.3	1045.9	1150.2	1245.1	1471.1	1616.9	1899.7
1	1	2	4	549.3	626.9	681.6	703.1	761.3	826.6	952.2
1	1	2	5	2056.1	2305.2	2506.5	2623.8	2918.4	3163.7	3653.9
1	1	3	3	396.2	349.7	372.1	218.3	153.4	123	105.4
1	1	3	2	481.5	738.4	752.5	658.3	637.5	671	559.7
1	1	3	1	145.5	199.9	206.2	185.3	190.6	200.7	155.1
1	1	3	4	341.4	466.3	450.2	401.9	399.1	429.3	326.8
1	1	3	5	1083.9	1440.2	1427.5	1267.6	1286.1	1365.6	1058.9
1	3	1	3	7.6	2.7	5	3.8	3.8	3.3	15.1
1	3	1	2	61.3	30.1	39.4	36.8	24.4	19.6	39.4
1	3	1	1	18.9	8.7	11.8	11.6	8	6.6	14.3
1	3	1	4	23.3	10.7	14.7	13.4	9.2	7.5	14.6
1	3	1	5	70.8	33	44.9	39	27	21.9	39.8
1	3	2	3	9.5	5.1	6.9	4	4	3.5	3.5
1	3	2	2	63.4	26.9	36.8	25.3	30.5	31.4	42.4
1	3	2	1	42.9	18.7	23.3	17.3	21.2	21.1	27.9
1	3	2	4	23.3	9.5	11.9	8.7	10.2	10.5	14.2
1	3	2	5	88.6	37.3	46.3	34.2	40.8	41.4	55.4
1	3	3	3	17.7	9.4	8.3	5.6	5.3	6	7.6
1	3	3	2	36	25	21.5	15.4	14.3	14	17.6
1	3	3	1	7.6	5.5	4.8	3.5	3.7	3.4	4.6
1	3	3	4	16.9	11.3	10	7.3	7.5	6.9	9.6
1	3	3	5	52	37.1	33.8	24.8	27.1	25.6	35.7
1	2	1	3	27.7	15.3	23.3	28.8	28.7	21.6	59.3
1	2	1	2	254.7	233.5	343.8	480	477.9	367.4	421.3
1	2	1	1	106.3	89.3	116.7	143.5	147.1	111	139.2
1	2	1	4	125.1	110	149.6	188.7	189.7	149.8	166.4
1	2	1	5	369.1	333.4	463.4	596.6	590.3	477.7	497.8
1	2	2	3	46.3	31.9	48	38.9	28.1	20.7	29
1	2	2	2	186.3	172.3	311.2	279.1	278.6	262.7	345
1	2	2	1	158.5	122.6	207.3	180.5	191.5	179.2	229
1	2	2	4	85.1	69.3	119.9	100.3	104	96.1	123
1	2	2	5	328.3	261.1	446.1	378.4	395.5	367	469.1
1	2	3	3	94.2	63.8	74.6	73.3	59.8	43.3	50.6
1	2	3	2	122	105.1	154.4	147	131.6	110	135.2
1	2	3	1	51.5	32.9	40.6	39.9	36.3	33.9	35.8
1	2	3	4	112.9	71.7	89.4	86.5	78.6	73.6	77.6
1	2	3	5	371.9	229.5	284.4	283.4	261	247.3	257.7
2	1	1	3	69.6	72.3	67.6	62.4	66.1	82.8	113.2
2	1	1	2	576.2	705.6	695	758.3	905.9	1004.1	1107.4
2	1	1	1	170.5	241.2	250.1	290.6	369.8	423.9	447.1
2	1	1	4	212.4	296.6	303	350.6	450.7	511.9	526.3
2	1	1	5	659.1	903.7	916.8	1060.2	1364.8	1550.8	1578.3
2	1	2	3	53.2	80	46.4	31.4	19.3	17.5	19.6
2	1	2	2	231.8	373.9	219.4	183.8	203.6	195.6	201.1
2	1	2	1	146.1	304.5	185.1	164.7	190.2	184.4	213.1
2	1	2	4	73.7	158.5	94	82.3	94	90.5	96.2
2	1	2	5	287.3	610.4	365	321	368.8	355.5	386
2	1	3	3	127.8	115.2	105.4	84.1	44.3	38	38.9
2	1	3	2	174.1	207.6	186.6	155.5	162.6	154.6	165.5
2	1	3	1	37.1	46.6	40.3	35.7	42.4	40.5	40.2
2	1	3	4	83	99.8	87.3	78	87.5	81.5	78.1
2	1	3	5	245.8	291	246.6	219.1	243.5	225	211.6
2	3	1	3	4.1	3.3	3.5	3.3	3.6	7.3	20.5
2	3	1	2	34	35.5	32.5	29.3	20.6	35.1	47.6
2	3	1	1	10.5	10.7	10.4	9	6.8	12	17.1
2	3	1	4	11.6	12.1	11.9	9.9	7.2	12.2	17.1
2	3	1	5	33.8	35.7	35.3	28.7	20.2	33.8	46.6
2	3	2	3	4.7	5.9	4.5	4.4	3.3	3.3	5.7
2	3	2	2	28.6	38.3	36.1	38.6	26.9	28.4	56
2	3	2	1	18	22.6	23.2	24	15.9	17.2	33.9
2	3	2	4	9.1	10.7	11	11.4	7.6	8.1	15.8
2	3	2	5	35.3	42.3	43.5	44.9	29.8	32.1	62.9
2	3	3	3	17	10.7	6.5	8.5	4.3	3.8	7.8
2	3	3	2	24	23.8	22.6	31.7	16.9	13.3	18.7
2	3	3	1	4.5	4.6	4.7	6.1	3.3	2.7	3.7
2	3	3	4	9.5	9.1	9.5	12.1	6.7	5.6	7.8
2	3	3	5	28.8	26.7	27.3	34.8	20.1	17.8	24.6
2	2	1	3	13.9	14.7	19.7	26.3	30.9	34.2	60.7
2	2	1	2	125	152.9	257.3	353.6	344.1	374	358.4
2	2	1	1	54.6	60.8	89.4	115	111.5	121	123.2
2	2	1	4	60.3	68.8	102.9	134.3	130.5	140.1	133.9
2	2	1	5	173	200.1	303.3	399	387.6	412.7	380.3
2	2	2	3	11.3	14.8	21.7	20.4	15.7	11.3	15.1
2	2	2	2	27.6	92.7	165.7	142.9	146.7	153.1	168.1
2	2	2	1	31.6	66.5	110.8	96.7	91.8	100	109
