region	soil	species	2002	2004	2006	2008	2010
1	1	1	38.8	33.5	40.4	37.8	38.5
1	1	2	30.8	27.7	34.3	45.9	58.2
1	1	3	194.8	169.9	174.7	215.5	250.2
1	3	1	1.6	0.4	0.5	0.9	1.6
1	3	2	1.1	0.6	0.5	0.6	0.8
1	3	3	35.2	12.1	9.6	9.2	10
1	2	1	7.9	6.7	4.4	3.7	2.8
1	2	2	6.5	2.3	2.2	2.9	1.7
1	2	3	41.5	18.4	16.9	15.7	15.4
2	1	1	38.8	33.5	40.4	37.8	38.5
2	1	2	30.8	27.7	34.3	45.9	58.2
2	1	3	194.8	169.9	174.7	215.5	250.2
2	3	1	1.6	0.4	0.5	0.9	1.6
2	3	2	1.1	0.6	0.5	0.6	0.8
2	3	3	35.2	12.1	9.6	9.2	10
2	2	1	7.9	6.7	4.4	3.7	2.8
2	2	2	6.5	2.3	2.2	2.9	1.7
2	2	3	41.5	18.4	16.9	15.7	15.4
