region,soil,species,2002,2004,2006,2008,2010,2012
1,1,1,24944.6,24582.9,23488.3,22862,21975.3,20079.4
1,1,2,29971.3,31208.9,32319.5,34916,39784.7,47448.1
1,1,3,20052.8,20863.8,22346.5,25421.2,28572.3,29828.6
1,3,1,677.8,542.3,539.4,688,872.2,1336.8
1,3,2,872.9,635.5,712.4,834.3,972.2,1190.3
1,3,3,1648.8,947.3,756,760.5,632.3,682.8
1,2,1,2630.6,2326.4,1854,1035.2,863.3,906.4
1,2,2,3238.4,2581.9,2525.5,2300.8,2673.7,3145.9
1,2,3,2430.8,1648.4,1406.1,1101.4,1055.1,1062.5
2,1,1,24944.6,24582.9,23488.3,22862,21975.3,20079.4
2,1,2,29971.3,31208.9,32319.5,34916,39784.7,47448.1
2,1,3,20052.8,20863.8,22346.5,25421.2,28572.3,29828.6
2,3,1,677.8,542.3,539.4,688,872.2,1336.8
2,3,2,872.9,635.5,712.4,834.3,972.2,1190.3
2,3,3,1648.8,947.3,756,760.5,632.3,682.8
2,2,1,2630.6,2326.4,1854,1035.2,863.3,906.4
2,2,2,3238.4,2581.9,2525.5,2300.8,2673.7,3145.9
2,2,3,2430.8,1648.4,1406.1,1101.4,1055.1,1062.5
