region	soil	species	part	2002	2004	2006	2008	2010
1	1	1	3	6.5	6.6	7.8	7.7	11.3
1	1	1	2	35.7	36.2	30.8	40.4	43.8
1	1	1	1	15.9	17.2	16.3	17.2	19.7
1	1	1	4	23.6	24.5	22	22.4	24.4
1	1	1	5	78.7	79.9	69.7	70.5	74.9
1	1	2	3	14.7	11.2	10.2	14.7	25.3
1	1	2	2	65.9	85	91.5	118.9	156
1	1	2	1	68.9	79.6	82.4	94.3	105.3
1	1	2	4	40.7	46.7	48.9	55.3	60.6
1	1	2	5	150.8	171.9	178.8	202	221.1
1	1	3	3	27.1	26.9	30.8	22.5	23.5
1	1	3	2	39.2	40.9	45	41.9	38.4
1	1	3	1	11.4	13	14.5	16.4	17
1	1	3	4	26.1	28.1	31.1	34.7	36.6
1	1	3	5	81.8	88.5	99	112.8	116.6
1	3	1	3	0.4	0.3	0.4	0.6	0.3
1	3	1	2	2.4	1.2	0.6	1.4	0.3
1	3	1	1	0.7	0.4	0.2	0.5	0.2
1	3	1	4	0.8	0.4	0.2	0.5	0.1
1	3	1	5	2.5	1.3	0.6	1.3	0.3
1	3	2	3	0.9	0.2	0.2	0.2	0
1	3	2	2	4.1	1	0.6	0.7	0
1	3	2	1	2.5	0.6	0.4	0.4	0
1	3	2	4	1.3	0.3	0.2	0.2	0
1	3	2	5	5.1	1.2	0.7	0.8	0
1	3	3	3	3.2	1.1	0.3	0.9	0.4
1	3	3	2	4.7	1.8	0.3	1.3	0.1
1	3	3	1	0.9	0.4	0.1	0.3	0
1	3	3	4	2	0.8	0.2	0.6	0.1
1	3	3	5	6.7	2.9	0.5	2.1	0.3
1	2	1	3	0.7	0.8	1.4	0.8	0.5
1	2	1	2	7.5	7.8	8.8	2.9	1.7
1	2	1	1	2.1	2.2	2.3	0.7	0.4
1	2	1	4	2.9	2.9	3.3	1.1	0.6
1	2	1	5	9.1	9.1	11.1	3.9	2.1
1	2	2	3	2.3	3.1	1.8	1	1.2
1	2	2	2	16	10.8	13.9	5.9	5.5
1	2	2	1	8.8	6.1	7.8	3.7	3.3
1	2	2	4	5.6	3.7	4.5	1.9	1.8
1	2	2	5	20.1	13.5	16.8	7.3	6.8
1	2	3	3	3.6	2.9	2.6	1.4	1.3
1	2	3	2	8.1	4.2	3.5	1.2	1
1	2	3	1	1.6	1	0.8	0.3	0.3
1	2	3	4	3.7	2.2	1.8	0.7	0.6
1	2	3	5	12.6	8.6	6.7	2.5	2.5
2	1	1	3	6.5	6.6	7.8	7.7	11.3
2	1	1	2	35.7	36.2	30.8	40.4	43.8
2	1	1	1	15.9	17.2	16.3	17.2	19.7
2	1	1	4	23.6	24.5	22	22.4	24.4
2	1	1	5	78.7	79.9	69.7	70.5	74.9
2	1	2	3	14.7	11.2	10.2	14.7	25.3
2	1	2	2	65.9	85	91.5	118.9	156
2	1	2	1	68.9	79.6	82.4	94.3	105.3
2	1	2	4	40.7	46.7	48.9	55.3	60.6
2	1	2	5	150.8	171.9	178.8	202	221.1
2	1	3	3	27.1	26.9	30.8	22.5	23.5
2	1	3	2	39.2	40.9	45	41.9	38.4
2	1	3	1	11.4	13	14.5	16.4	17
2	1	3	4	26.1	28.1	31.1	34.7	36.6
2	1	3	5	81.8	88.5	99	112.8	116.6
2	3	1	3	0.4	0.3	0.4	0.6	0.3
2	3	1	2	2.4	1.2	0.6	1.4	0.3
2	3	1	1	0.7	0.4	0.2	0.5	0.2
2	3	1	4	0.8	0.4	0.2	0.5	0.1
2	3	1	5	2.5	1.3	0.6	1.3	0.3
2	3	2	3	0.9	0.2	0.2	0.2	0
2	3	2	2	4.1	1	0.6	0.7	0
2	3	2	1	2.5	0.6	0.4	0.4	0
2	3	2	4	1.3	0.3	0.2	0.2	0
2	3	2	5	5.1	1.2	0.7	0.8	0
2	3	3	3	3.2	1.1	0.3	0.9	0.4
2	3	3	2	4.7	1.8	0.3	1.3	0.1
2	3	3	1	0.9	0.4	0.1	0.3	0
2	3	3	4	2	0.8	0.2	0.6	0.1
2	3	3	5	6.7	2.9	0.5	2.1	0.3
2	2	1	3	0.7	0.8	1.4	0.8	0.5
2	2	1	2	7.5	7.8	8.8	2.9	1.7
2	2	1	1	2.1	2.2	2.3	0.7	0.4
2	2	1	4	2.9	2.9	3.3	1.1	0.6
2	2	1	5	9.1	9.1	11.1	3.9	2.1
2	2	2	3	2.3	3.1	1.8	1	1.2
2	2	2	2	16	10.8	13.9	5.9	5.5
2	2	2	1	8.8	6.1	7.8	3.7	3.3
2	2	2	4	5.6	3.7	4.5	1.9	1.8
2	2	2	5	20.1	13.5	16.8	7.3	6.8
2	2	3	3	3.6	2.9	2.6	1.4	1.3
2	2	3	2	8.1	4.2	3.5	1.2	1
2	2	3	1	1.6	1	0.8	0.3	0.3
2	2	3	4	3.7	2.2	1.8	0.7	0.6
2	2	3	5	12.6	8.6	6.7	2.5	2.5
