"year" "C_trees" "C_mineral" "C_organic" "C_soil" "Total"
2010 -0.00136464839127962 0.00248694644559987 0 0.00248694644559987 0.00112229805432025
2011 -0.00136464839127962 0.00226084396666817 0 0.00226084396666817 0.000896195575388551
2012 -0.00136464839127962 0.00203584263772 0 0.00203584263772 0.000671194246440387
2013 -0.00136464839127962 0.00184518072496118 0 0.00184518072496118 0.000480532333681558
2014 -0.00136464839127962 0.00175767761078999 0 0.00175767761078999 0.00039302921951037
2015 -0.00136464839127963 0.001613660964199 0 0.001613660964199 0.000249012572919378
2016 -0.00136464839127963 0.00143232632424216 0 0.00143232632424216 6.7677932962525e-05
2017 -0.00136464839127963 0.00111742219446663 0 0.00111742219446663 -0.000247226196813003
2018 -0.00136464839127963 0.000838997265940501 0 0.000838997265940501 -0.000525651125339131
2019 -0.00136464839127963 0.000590967762603029 0 0.000590967762603029 -0.000773680628676601
2020 -0.00136464839127963 0.000368005995188498 0 0.000368005995188498 -0.000996642396091131
2021 -0.00136464839127963 0.000166599158681301 0 0.000166599158681301 -0.00119804923259833
2022 -0.00136464839127963 -1.62450642069986e-05 0 -1.62450642069986e-05 -0.00138089345548663
2023 -0.00136464839127963 -0.000181248397098238 0 -0.000181248397098238 -0.00154589678837786
2024 -0.00136464839127962 -0.000332564688246581 0 -0.000332564688246581 -0.0016972130795262
2025 -0.00136464839127962 -0.000189039700230545 0 -0.000189039700230545 -0.00155368809151017
2026 -0.001815845274347 -6.67472491541824e-05 0 -6.67472491541824e-05 -0.00188259252350118
2027 -0.00226704215741437 3.81391088053958e-05 0 3.81391088053958e-05 -0.00222890304860898
2028 -0.00271823904048175 0.000131050422836704 0 0.000131050422836704 -0.00258718861764504
2029 -0.00316943592354912 0.000212326933897976 0 0.000212326933897976 -0.00295710898965115
2030 -0.0036206328066165 0.000127292553584659 0 0.000127292553584659 -0.00349334025303184
2031 -0.00407182968968387 6.35602400823094e-05 0 6.35602400823094e-05 -0.00400826944960156
2032 -0.00452302657275125 1.44353287562359e-05 0 1.44353287562359e-05 -0.00450859124399501
2033 -0.00497422345581862 -2.4287475115137e-05 0 -2.4287475115137e-05 -0.00499851093093376
2034 -0.005425420338886 -5.56201104987631e-05 0 -5.56201104987631e-05 -0.00548104044938476
2035 -0.00587661722195337 -0.000873000209379102 0 -0.000873000209379102 -0.00674961743133248
2036 -0.0032812002758675 -0.00159453265675908 0 -0.00159453265675908 -0.00487573293262658
2037 -0.000685783329781633 -0.00223765751573709 0 -0.00223765751573709 -0.00292344084551872
2038 0.00190963361630424 -0.0028159232913609 0 -0.0028159232913609 -0.000906289675056666
2039 0.00450505056239011 -0.00333781309627457 0 -0.00333781309627457 0.00116723746611554
2040 0.00710046750847597 -0.00289159871473678 0 -0.00289159871473678 0.00420886879373919
2041 0.00969588445456184 -0.0025738366017815 0 -0.0025738366017815 0.00712204785278034
2042 0.0122913014006477 -0.00233564769513725 0 -0.00233564769513725 0.00995565370551046
2043 0.0148867183467336 -0.00215482032220519 0 -0.00215482032220519 0.0127318980245284
2044 0.0174821352928194 -0.00201602422033661 0 -0.00201602422033661 0.0154661110724828
2045 0.0200775522389053 -0.000593106921493401 0 -0.000593106921493401 0.0194844453174119
2046 0.0179730018590693 0.000655061060112629 0 0.000655061060112629 0.0186280629191819
2047 0.0158684514792333 0.00175658655316775 0 0.00175658655316775 0.017625038032401
2048 0.0137639010993973 0.00273673955764849 0 0.00273673955764849 0.0165006406570458
2049 0.0116593507195613 0.003616054628472 0 0.003616054628472 0.0152754053480333
2050 0.00955480033972527 0.00365959801535475 0 0.00365959801535475 0.01321439835508
2051 0.00745024995988926 0.00376607262531456 0 0.00376607262531456 0.0112163225852038
2052 0.00534569958005325 0.00389909698452226 0 0.00389909698452226 0.00924479656457552
2053 0.00324114920021724 0.00404648269054729 0 0.00404648269054729 0.00728763189076453
2054 0.00113659882038123 0.00419862872349468 0 0.00419862872349468 0.00533522754387591
2055 -0.000967951559454778 0.00370105534711263 0 0.00370105534711263 0.00273310378765785
2056 -0.000967951559454778 0.00327701701189079 0 0.00327701701189079 0.00230906545243602
2057 -0.000967951559454778 0.00291072042449179 0 0.00291072042449179 0.00194276886503701
2058 -0.000967951559454778 0.00259203917109385 0 0.00259203917109385 0.00162408761163907
2059 -0.000967951559454778 0.00231287734879901 0 0.00231287734879901 0.00134492578934423
2060 -0.000967951559454778 0.00231287734879901 0 0.00231287734879901 0.00134492578934423
