"year" "nwl_A" "nwl_W" "nwl_E" "nwl_N" "fwl_A" "fwl_W" "fwl_E" "fwl_N"
2010 0.6578 0.1679 0.084 0.2653 0.1038 0.0037 0.0062 0.06
2011 0.6654 0.1698 0.0849 0.2683 0.105 0.0037 0.0063 0.0607
2012 0.6731 0.1717 0.0859 0.2712 0.1062 0.0038 0.0064 0.0614
2013 0.6807 0.1736 0.0868 0.2741 0.1074 0.0038 0.0064 0.0621
2014 0.6883 0.1755 0.0878 0.2771 0.1086 0.0039 0.0065 0.0628
2015 0.696 0.1774 0.0887 0.28 0.1098 0.0039 0.0066 0.0635
2016 0.7036 0.1793 0.0897 0.283 0.111 0.0039 0.0066 0.0642
2017 0.7113 0.1812 0.0906 0.2859 0.1122 0.004 0.0067 0.0649
2018 0.7189 0.1831 0.0916 0.2888 0.1134 0.004 0.0068 0.0656
2019 0.7265 0.185 0.0925 0.2918 0.1146 0.0041 0.0069 0.0663
2020 0.7342 0.1869 0.0935 0.2947 0.1158 0.0041 0.0069 0.067
2021 0.7418 0.1888 0.0944 0.2977 0.117 0.0042 0.007 0.0677
2022 0.7494 0.1907 0.0954 0.3006 0.1183 0.0042 0.0071 0.0684
2023 0.7571 0.1926 0.0963 0.3036 0.1195 0.0043 0.0072 0.0691
2024 0.7647 0.1945 0.0973 0.3065 0.1207 0.0043 0.0072 0.0697
2025 0.7724 0.1964 0.0982 0.3094 0.1219 0.0043 0.0073 0.0704
2026 0.78 0.1983 0.0992 0.3124 0.1231 0.0044 0.0074 0.0711
2027 0.7876 0.2003 0.1001 0.3153 0.1243 0.0044 0.0075 0.0718
2028 0.7953 0.2022 0.1011 0.3183 0.1255 0.0045 0.0075 0.0725
2029 0.8029 0.2041 0.102 0.3212 0.1267 0.0045 0.0076 0.0732
2030 0.8106 0.206 0.103 0.3242 0.1279 0.0046 0.0077 0.0739
2031 0.8427 0.2141 0.1071 0.337 0.1329 0.0047 0.008 0.0768
2032 0.8748 0.2223 0.1112 0.3498 0.138 0.0049 0.0083 0.0798
2033 0.9069 0.2304 0.1152 0.3627 0.1431 0.0051 0.0086 0.0827
2034 0.939 0.2386 0.1193 0.3755 0.1481 0.0053 0.0089 0.0856
2035 0.9711 0.2467 0.1234 0.3883 0.1532 0.0055 0.0092 0.0886
2036 1.0032 0.2549 0.1275 0.4012 0.1583 0.0056 0.0095 0.0915
2037 1.0353 0.2631 0.1316 0.414 0.1633 0.0058 0.0098 0.0944
2038 1.0674 0.2712 0.1356 0.4269 0.1684 0.006 0.0101 0.0973
2039 1.0995 0.2794 0.1397 0.4397 0.1735 0.0062 0.0104 0.1003
2040 1.1316 0.2875 0.1438 0.4525 0.1785 0.0064 0.0107 0.1032
2041 1.0219 0.2597 0.1299 0.4087 0.1612 0.0057 0.0097 0.0932
2042 0.9122 0.2318 0.1159 0.3648 0.1439 0.0051 0.0086 0.0832
2043 0.8025 0.2039 0.102 0.3209 0.1266 0.0045 0.0076 0.0732
2044 0.6929 0.1761 0.088 0.2771 0.1093 0.0039 0.0066 0.0632
2045 0.5832 0.1482 0.0741 0.2332 0.092 0.0033 0.0055 0.0532
2046 0.4735 0.1203 0.0602 0.1894 0.0747 0.0027 0.0045 0.0432
2047 0.3638 0.0924 0.0462 0.1455 0.0574 0.002 0.0034 0.0332
2048 0.2541 0.0646 0.0323 0.1016 0.0401 0.0014 0.0024 0.0232
2049 0.1445 0.0367 0.0184 0.0578 0.0228 8e-04 0.0014 0.0132
2050 0.0348 0.0088 0.0044 0.0139 0.0055 2e-04 3e-04 0.0032
2051 0.0401 0.0102 0.0051 0.016 0.0063 2e-04 4e-04 0.0037
2052 0.0454 0.0115 0.0058 0.0181 0.0072 3e-04 4e-04 0.0041
2053 0.0507 0.0129 0.0064 0.0203 0.008 3e-04 5e-04 0.0046
2054 0.0559 0.0142 0.0071 0.0224 0.0088 3e-04 5e-04 0.0051
2055 0.0612 0.0156 0.0078 0.0245 0.0097 3e-04 6e-04 0.0056
2056 0.0665 0.0169 0.0085 0.0266 0.0105 4e-04 6e-04 0.0061
2057 0.0718 0.0182 0.0091 0.0287 0.0113 4e-04 7e-04 0.0065
2058 0.0771 0.0196 0.0098 0.0308 0.0122 4e-04 7e-04 0.007
2059 0.0824 0.0209 0.0105 0.0329 0.013 5e-04 8e-04 0.0075
2060 0.0877 0.0223 0.0111 0.0351 0.0138 5e-04 8e-04 0.008
