"year" "A" "W" "E" "N" "H"
2000 8.4266 0.8958 0.9517 9.7274 42.5846
2001 7.654 0.816 0.856 9.1151 42.5856
2002 7.024 0.7508 0.7778 8.5299 42.5857
2003 6.4892 0.6952 0.7128 7.9776 42.585
2004 6.0326 0.648 0.6596 7.4688 42.5836
2005 5.6294 0.6062 0.6146 6.9975 42.5816
2006 5.2672 0.5686 0.5759 6.5605 42.5791
2007 4.9398 0.5346 0.5424 6.1566 42.576
2008 4.6416 0.5037 0.513 5.783 42.5726
2009 4.3736 0.4762 0.4877 5.4414 42.5687
2010 4.13 0.4512 0.4654 5.1278 42.5644
2011 3.9079 0.4284 0.4457 4.8399 42.5598
2012 3.7049 0.4075 0.4281 4.5752 42.5549
2013 3.5202 0.3886 0.4125 4.3328 42.5497
2014 3.3514 0.3714 0.3985 4.1102 42.5443
2015 3.1928 0.3548 0.3851 3.9028 42.5385
2016 3.0491 0.3401 0.3732 3.7124 42.5325
2017 2.921 0.3272 0.3629 3.5394 42.5263
2018 2.8073 0.3157 0.354 3.3828 42.52
2019 2.7063 0.3055 0.3463 3.2414 42.5135
2020 2.6163 0.2965 0.3396 3.1137 42.5069
2021 2.5616 0.2921 0.337 3.0119 42.5003
2022 2.5341 0.2906 0.3377 2.9355 42.4936
2023 2.5288 0.2914 0.3411 2.883 42.4869
2024 2.5421 0.2942 0.3468 2.8523 42.4802
2025 2.5716 0.2986 0.3541 2.8416 42.4737
2026 2.6218 0.305 0.3633 2.8526 42.4672
2027 2.6902 0.3131 0.374 2.8832 42.4608
2028 2.7748 0.3227 0.3859 2.9321 42.4546
2029 2.874 0.334 0.3989 2.9976 42.4486
2030 2.9862 0.3465 0.4129 3.0785 42.4427
2031 3.1442 0.3651 0.432 3.1915 42.4371
2032 3.3378 0.3876 0.4554 3.3364 42.4317
2033 3.5603 0.413 0.4823 3.5114 42.4267
2034 3.807 0.441 0.5119 3.7142 42.4221
2035 4.0746 0.4712 0.5439 3.9426 42.4179
2036 4.4154 0.5084 0.5807 4.2214 42.4142
2037 4.8162 0.5516 0.6219 4.5497 42.411
2038 5.2679 0.6 0.6666 4.9253 42.4085
2039 5.7636 0.6529 0.7146 5.3452 42.4067
2040 6.2978 0.7098 0.7655 5.8066 42.4055
2041 6.7944 0.7597 0.8096 6.2679 42.4051
2042 7.269 0.8071 0.8486 6.7247 42.4053
2043 7.7308 0.853 0.8837 7.1759 42.4061
2044 8.1851 0.898 0.916 7.6217 42.4075
2045 8.6351 0.9425 0.9461 8.0631 42.4094
2046 8.9564 0.9753 0.9681 8.4379 42.4118
2047 9.1743 0.9979 0.9832 8.745 42.4144
2048 9.3064 1.012 0.9924 8.9862 42.4173
2049 9.3655 1.0186 0.9966 9.1643 42.4202
2050 9.3614 1.0187 0.9964 9.2832 42.4233
2051 9.358 1.0212 0.9994 9.3769 42.4263
2052 9.3464 1.0231 1.0048 9.4505 42.4294
2053 9.3224 1.0238 1.012 9.5066 42.4325
2054 9.2841 1.0231 1.02 9.5464 42.4357
2055 9.231 1.021 1.0287 9.5709 42.439
2056 9.227 1.0232 1.0407 9.6124 42.4423
2057 9.2607 1.0289 1.0556 9.6724 42.4458
2058 9.324 1.0376 1.073 9.7509 42.4494
2059 9.4118 1.0488 1.0922 9.8472 42.4533
2060 9.5197 1.0622 1.113 9.9602 42.4574
