"year" "nwls" "fwls" "cwls" "nwln" "fwln" "cwln"
2000 506.4073 0 0 0 0 0
2001 506.4073 0 0 0 0 0
2002 506.4073 0 0 0 0 0
2003 506.4073 0 0 0 0 0
2004 506.4073 0 0 0 0 0
2005 506.4073 0 0 0 0 0
2006 506.4073 0 0 0 0 0
2007 506.4073 0 0 0 0 0
2008 506.4073 0 0 0 0 0
2009 506.4073 0 0 0 0 0
2010 506.4073 0 0 0 0 0
2011 506.4073 0 0 0 0 0
2012 506.4073 0 0 0 0 0
2013 506.4073 0 0 0 0 0
2014 506.4073 0 0 0 0 0
2015 506.4073 0 0 0 0 0
2016 510.4073 0.5 0 0 0 0
2017 514.3073 1.1 0 0 0 0
2018 518.2373 2.195 1.1651 0 0 0
2019 522.2673 3.2901 2.3302 0 0 0
2020 526.2974 4.3851 3.4953 0 0 0
2021 576.1274 12.1801 4.6604 0 0 0
2022 626.0574 20.0752 5.8255 0 0 0
2023 675.8875 27.8702 6.9907 0 0 0
2024 725.7175 35.8653 8.1558 0 0 0
2025 775.6475 43.6603 9.3209 0 0 0
2026 826.3992 54.7834 17.8481 0 0 0
2027 876.8509 65.8065 26.3754 0 0 0
2028 927.6025 76.7296 34.9026 0 0 0
2029 978.3542 87.7527 43.4299 0 0 0
2030 1029.1059 98.6758 51.9572 0 0 0
2031 1141.4575 118.8989 60.4844 0 0 0
2032 1254.1092 138.922 69.0117 0 0 0
2033 1366.6609 159.1451 77.5389 0 0 0
2034 1479.0125 179.2682 86.0662 0 0 0
2035 1591.5642 199.4913 94.5934 0 0 0
2036 1737.1578 264.5407 122.8548 0 0 0
2037 1882.8513 329.59 151.1161 0 0 0
2038 2028.3448 394.7393 179.3775 0 0 0
2039 2174.2384 459.8886 207.6389 0 0 0
2040 2319.8319 525.038 235.9002 0 0 0
2041 2334.6255 570.6873 264.1616 0 0 0
2042 2349.419 616.3366 292.4229 0 0 0
2043 2364.1125 662.086 320.6843 0 0 0
2044 2379.1061 707.7353 348.9456 0 0 0
2045 2393.7996 753.2846 377.207 0 0 0
2046 2340.265 701.4983 347.6819 0 0 0
2047 2286.7305 649.5121 318.1568 0 0 0
2048 2233.1959 597.6258 288.6316 0 0 0
2049 2179.6613 545.6395 259.1065 0 0 0
2050 2126.1267 493.6532 229.5814 0 0 0
2051 2174.8921 456.8669 200.0563 0 0 0
2052 2223.6576 420.0807 170.5312 0 0 0
2053 2272.523 383.3944 141.0061 0 0 0
2054 2321.1884 346.5081 111.481 0 0 0
2055 2370.0538 309.9218 81.9559 0 0 0
2056 2452.9538 322.0218 81.9559 0 0 0
2057 2535.9538 334.4218 81.9559 0 0 0
2058 2619.0538 346.6218 81.9559 0 0 0
2059 2701.9538 359.0218 81.9559 0 0 0
2060 2785.0538 371.3218 81.9559 0 0 0
