"","kptyy","Nuts3Nimi","count","keski","med","var"
"1",5,"Aland",1,46.07474,46.07474,NA
"2",4,"Aland",2,41.4417431374611,41.4417431374611,0.271965646018894
"3",2,"Aland",2,35.2094474382295,35.2094474382295,0.013521905209874
"4",1,"Aland",1,34.3560967261897,34.3560967261897,NA
"5",3,"Aland",1,41.2175293261898,41.2175293261898,NA
"6",2,"Keski-Suomi",81,46.8789692165954,42.0451130006927,205.113370960972
"7",3,"Keski-Suomi",227,50.0048512892826,45.0561759172449,225.06581282188
"8",1,"Keski-Suomi",7,47.392626888207,45.5007660261898,164.560159024715
"9",5,"Keski-Suomi",122,49.1174680544767,41.0729846487324,325.169980163207
"10",4,"Keski-Suomi",242,52.2854614074742,45.1733730951202,322.024881516019
"11",3,"Pohjois-Karjala",314,48.840188251264,41.0729846487324,262.751929443973
"12",5,"Pohjois-Karjala",240,50.17869764213,41.9470709408627,336.630093639767
"13",2,"Pohjois-Karjala",96,45.9785525112595,41.9890930479064,149.891259642996
"14",4,"Pohjois-Karjala",288,51.6733887004977,42.2495480006927,327.204032916318
"15",1,"Pohjois-Karjala",27,44.7201340215856,44.4657160261898,83.2536456659358
"16",4,"Etela-Savo",151,52.6373788980266,45.2115137742729,302.945026965495
"17",3,"Etela-Pohjanmaa",168,56.015496094628,50.6734621616285,288.459777563117
"18",4,"Etela-Pohjanmaa",376,57.9738845539283,59.6729793006617,294.084965190161
"19",3,"Pohjanmaa",104,52.9309171788406,46.8455718303039,235.559529928154
"20",2,"Pohjanmaa",33,52.0017896925189,41.6506587895154,275.668198262567
"21",4,"Pohjanmaa",93,60.2570132008614,60.1991496041224,267.496087590027
"22",5,"Pohjanmaa",92,55.6639255244915,47.8861130006927,278.187745376081
"23",5,"Etela-Pohjanmaa",227,60.9358834150012,64.6595146022194,343.271388858651
"24",2,"Etela-Pohjanmaa",56,49.5913902804067,43.2250734286389,202.58677166385
"25",6,"Etela-Pohjanmaa",25,53.4679540144063,47.8861130006927,330.457488736864
"26",3,"Pohjois-Savo",239,52.4446055366852,44.4579726554813,301.128377569511
"27",5,"Pohjois-Savo",117,52.8950873789182,43.3783553844612,395.495757499678
"28",2,"Pohjois-Savo",115,48.7563185903772,44.0624202765852,191.077903041167
"29",4,"Pohjois-Savo",196,54.9636834408052,46.6227096183571,360.193027227908
"30",1,"Etela-Pohjanmaa",4,49.095380755296,46.0141849063875,114.865651143264
"31",6,"Keski-Suomi",8,37.7208562121921,38.3811532392144,92.1381406435534
"32",1,"Pohjois-Savo",16,47.8410449318459,43.0692638761898,144.333282390528
"33",6,"Pohjanmaa",7,56.6170233392109,43.4270451231748,595.809359806921
"34",6,"Pohjois-Savo",6,57.7500534928446,58.198942253885,453.094900294016
"35",6,"Pohjois-Karjala",7,44.0803175554488,38.7585761158354,227.37722488331
