"","Nuts3Nimi","count","keski","med","var"
"1","Aland",7,39.2786781719658,41.0729846487324,19.4896455714836
"2","Keski-Suomi",687,50.1124101170033,43.3783553844612,275.879071430732
"3","Pohjois-Karjala",972,49.5787956515467,41.8499553844612,286.288970374113
"4","Etela-Savo",550,50.2005285580862,42.8900680479064,271.174060611738
"5","Etela-Pohjanmaa",856,57.6535370332523,57.9205276980436,307.318930358665
"6","Pohjanmaa",329,55.7512978290589,49.6880134660958,273.685347938085
"7","Pohjois-Savo",689,52.5613956150348,44.0894630006927,315.883050476483
"8","Keski-Pohjanmaa",381,55.3335437985346,46.7179130006927,349.063617594342
"9","Pohjois-Pohjanmaa",2189,51.9596527695951,42.6377876442707,305.960513422502
"10","Kainuu",1256,49.4309667523263,41.8395403816493,261.497221713572
"11","Uusimaa",127,47.0868252598331,41.4367152261897,291.941988358327
"12","Varsinais-Suomi",211,50.4746236015318,44.6343515999012,307.205991397341
"13","Kymenlaakso",124,51.5711833849319,41.0729846487324,351.629199310026
"14","Kanta-Hame",155,48.8836216253494,42.6377876442707,265.293592276409
"15","Paijat-Hame",98,48.2157386481355,41.0729846487324,299.080689877421
"16","Etela-Karjala",187,51.9296126616517,42.6141553844612,374.019765442062
"17","Satakunta",417,53.8075830207852,49.7104759172449,301.299381745502
"18","Pirkanmaa",421,51.2735546786577,46.07474,280.116846576643
"19","Lappi",1014,44.3298782926619,40.0287876442707,138.025414035182
